    Num ,       T,       P,       M,    Para,       H,       S,
     1,           44.000000,         1000.000000,            5.200000,            0.000000,            0.000000,            0.000000,
     2,           22.739588,          130.000000,            5.200000,            0.000000,            0.000000,            0.000000,
     3,           29.868524,          130.000000,            5.200000,            0.000000,            0.000000,            0.000000,
     4,           40.000000,         2100.000000,            1.000000,            0.843000,            0.000000,            0.000000,
     5,           23.000000,         2100.000000,            1.000000,            0.843000,            0.000000,            0.000000,
     6,           79.665317,          130.000000,            5.200000,            0.000000,            0.000000,            0.000000,
     7,           80.000000,         1000.000000,            5.200000,            0.000000,            0.000000,            0.000000,
     8,           80.000000,         2100.000000,            1.000000,            0.475000,            0.000000,            0.000000,
     9,           40.000000,         2100.000000,            1.000000,            0.475000,            0.000000,            0.000000,
    10,           77.000000,          100.000000,            7.937888,            0.000000,            0.000000,            0.000000,
    11,          295.000000,          100.000000,            7.937888,            0.000000,            0.000000,            0.000000,
    12,          295.000000,          130.000000,            5.200000,            0.000000,            0.000000,            0.000000,
    13,          300.000000,         1000.000000,            5.200000,            0.000000,            0.000000,            0.000000,
    14,          300.000000,         2100.000000,            1.000000,            0.250000,            0.000000,            0.000000,
    15,           80.000000,         2100.000000,            1.000000,            0.250000,            0.000000,            0.000000,
    16,          586.631091,         1000.000000,            5.200000,            0.000000,            0.000000,            0.000000,
    17,           23.000000,         2100.000000,            1.000000,            0.984000,            0.000000,            0.000000,
    18,           21.243494,          130.000000,            1.000000,            0.984000,            0.000000,            0.000000,
