    Num ,       T,       P,       M,    Para,       H,       S,
     1,           44.000000,      1000000.000000,            5.200000,            0.000000,            1.434955,            0.816712,
     2,            0.000000,       130000.000000,            5.200000,            0.000000,            0.000000,            0.000000,
     3,            0.000000,       130000.000000,            5.200000,            0.000000,            0.000000,            0.000000,
     4,           40.000000,      2100000.000000,            1.000000,            0.843000,            1.351782,            0.815523,
     5,           23.000000,      2100000.000000,            1.000000,            0.843000,            0.998404,            0.808621,
     6,            0.000000,       130000.000000,            5.200000,            0.000000,            0.000000,            0.000000,
     7,           80.000000,      1000000.000000,            5.200000,            0.000000,            2.192362,            0.824299,
     8,           80.000000,      2100000.000000,            1.000000,            0.475000,            2.192362,            0.824299,
     9,           40.000000,      2100000.000000,            1.000000,            0.475000,            1.351782,            0.815523,
    10,           77.000000,       100000.000000,            0.000000,            0.000000,            2.232614,            0.902562,
    11,          295.000000,       100000.000000,            0.000000,            0.000000,            8.255737,            0.127726,
    12,          295.000000,       130000.000000,            5.200000,            0.000000,            9.674924,            0.047108,
    13,          300.000000,      1000000.000000,            5.200000,            0.000000,           21.621029,            0.030059,
    14,          300.000000,      2100000.000000,            1.000000,            0.250000,           33.929784,            0.023462,
    15,           80.000000,      2100000.000000,            1.000000,            0.250000,            2.192362,            0.824299,
    16,            0.000000,      1000000.000000,            5.200000,            0.000000,            0.000000,            0.000000,
    17,           23.000000,      2100000.000000,            1.000000,            0.984000,            0.998404,            0.808621,
    18,            0.000000,       130000.000000,            1.000000,            0.984000,            0.000000,            0.000000,
