    Num ,       T,       P,       M,    Para,       H,       S,
     1,          300.000000,         2100.000000,            0.057870,            0.250000,         4492.124948,           50.068198,
     2,          210.000000,         2100.000000,            0.057870,            0.250000,         3219.793432,           45.031961,
     3,          286.000000,         2100.000000,            0.000000,            0.000000,         1497.249197,            0.085921,
     4,          186.000000,         2100.000000,            0.000000,            0.000000,          977.602708,            0.076972,
     5,          300.000000,         2100.000000,           -0.150764,            0.000000,         1569.965289,            0.086915,
     6,          206.000000,         2100.000000,           -0.150764,            0.000000,         1081.584879,            0.079098,
     7,          206.000000,         2100.000000,            0.159355,            0.000000,            4.321550,            0.081894,
     8,          206.000000,         2100.000000,           -0.159355,            0.000000,         1081.584879,            0.079098,
     9,          150.000000,         2100.000000,            0.057870,            0.250000,         2417.693914,           40.542733,
    10,          143.000000,         2100.000000,            0.000000,            0.000000,          753.850719,            0.071496,
    11,          143.083190,          250.000000,            0.000000,            0.000000,            2.997626,            0.089211,
    12,          150.000000,         2100.000000,           -0.159355,            0.000000,          790.300188,            0.072493,
    13,          143.083190,         2100.000000,            0.000000,            0.000000,          754.283969,            0.071509,
    14,          105.000000,         2100.000000,            0.057870,            0.250000,         1860.504154,           36.136372,
    15,          105.000000,         2100.000000,            0.057870,            0.939677,         1427.868691,           29.111608,
    16,          102.000000,         2100.000000,            0.000000,            0.000000,          540.003254,            0.064442,
    17,          111.000000,         2100.000000,           -0.158619,            0.000000,          587.016280,            0.066210,
    18,          111.000000,         2100.000000,           -0.158619,            0.000000,            2.343325,            0.069016,
    19,          111.000000,         2100.000000,            0.000000,            0.000000,          587.016280,            0.066210,
    20,          105.000000,         2100.000000,            0.057870,            0.939677,         1427.868691,           29.111608,
    21,          100.000000,         2100.000000,            0.000000,            0.000000,          529.548182,            0.064028,
    22,           75.000000,         2100.000000,            0.057870,            0.250000,         1505.919456,           32.159740,
    23,           71.400000,         2100.000000,            0.136817,            0.000000,          379.567252,            0.056955,
    24,           75.000000,         2100.000000,            0.000000,            0.000000,          398.511584,            0.057992,
    25,           71.429122,          250.000000,            0.136817,            0.000000,            1.506952,            0.074757,
    26,           71.429122,          250.000000,            0.000000,            0.000000,          376.493378,            0.074757,
    27,           45.000000,         2100.000000,            0.057870,            0.250000,         1102.276357,           25.174397,
    28,           45.000000,         2100.000000,            0.057870,            0.939677,          619.318144,           17.585305,
    29,           36.600000,          250.000000,            0.000000,            0.000000,          194.950566,            0.060803,
    30,           42.800000,         2100.000000,           -0.136640,            0.000000,          227.558413,            0.046057,
    31,           42.800000,         2100.000000,            0.572034,            0.000000,            0.910037,            0.048951,
    32,           42.800000,         2100.000000,           -0.708673,            0.000000,          227.558413,            0.046057,
    33,           26.303221,          250.000000,            3.304287,            0.000000,            0.564101,            0.053865,
    34,           45.000000,         2100.000000,            0.057870,            0.939677,          619.318144,           17.585305,
    35,           32.900000,          250.000000,            0.000000,            0.000000,          175.579585,            0.058569,
    36,           35.000000,         2100.000000,            0.057870,            0.250000,          769.844912,           16.614920,
    37,           27.500000,          250.000000,           -1.227061,            0.000000,          147.232849,            0.054802,
    38,           28.900000,         2100.000000,           -0.708673,            0.000000,          151.329887,            0.037426,
    39,           33.000000,         2100.000000,            0.057870,            0.250000,          714.087438,           14.978129,
    40,           53.598410,         2100.000000,            0.057870,            0.939677,          752.223666,           20.297642,
    41,           28.000000,          250.000000,           -1.227061,            0.000000,          149.862470,            0.055181,
    42,           33.000000,         2100.000000,            0.057870,            0.939677,          234.972789,            7.478041,
    43,           26.400000,          250.000000,            3.555386,            0.000000,          141.443272,            0.053942,
    44,           26.303221,          250.000000,            0.251099,            0.000000,          140.933590,            0.053865,
    45,           20.600000,         2100.000000,            0.057870,            0.250000,          546.466700,            8.816252,
    46,           19.007756,          250.000000,            0.251099,            0.000000,          102.302350,            0.046977,
