  icase ,T_1,     T_2,     T_3,     Eff_1,   Eff_2,   W_comp_1,W_exp_1, W_exp_2, W_exp_3, W_exp_4, dtMin_1, dtMin_2, dtMin_3, dtMin_4, dtMin_5, dtMin_6, dtMin_7, dtMin_8, dtMin_9, dtMin_10,dtMin_11,dtAve_1, dtAve_2, dtAve_3, dtAve_4, dtAve_5, dtAve_6, dtAve_7, dtAve_8, dtAve_9, dtAve_10,dtAve_11,     SEC,
     1,           27.000000,           95.000000,          180.000000,            0.750000,            0.600000,        10540.381383,         -484.533041,         -185.575020,         -227.363809,          -12.703836,           23.271346,            6.916810,            9.812421,           10.000000,            3.570878,           10.275743,           15.261252,            1.684033,            6.000000,            6.696779,            1.592244,           24.696429,           19.826498,           14.705838,           12.476870,           12.808472,           11.096378,           21.729092,            8.917906,            6.950235,            8.945352,            4.996436,           46.224988,
     2,           27.000000,           95.000000,          180.000000,            0.750000,            0.650000,        10173.599265,         -458.943429,         -185.575020,         -227.363809,          -12.703836,           23.172782,           12.222531,            9.812421,           10.000000,            3.570878,           10.275743,           15.261252,            1.684033,            6.000000,            6.696779,            1.592244,           24.649415,           19.966892,           14.789327,           12.476870,           12.808472,           11.096378,           21.729092,            8.917906,            6.950235,            8.945352,            4.996436,           44.587264,
     3,           27.000000,           95.000000,          180.000000,            0.750000,            0.700000,         9888.714522,         -439.067639,         -185.575020,         -227.363809,          -12.703836,           23.106449,           14.093093,            9.812421,           10.000000,            3.570878,           10.275743,           15.261252,            1.684033,            6.000000,            6.696779,            1.592244,           24.618061,           20.058912,           14.888361,           12.476870,           12.808472,           11.096378,           21.729092,            8.917906,            6.950235,            8.945352,            4.996436,           43.315221,
     4,           27.000000,           95.000000,          180.000000,            0.750000,            0.750000,         9661.051931,         -423.184100,         -185.575020,         -227.363809,          -12.703836,           23.038061,           14.101436,            9.812421,           10.000000,            3.570878,           10.275743,           15.261252,            1.684033,            6.000000,            6.696779,            1.592244,           24.585441,           20.284789,           15.050540,           12.476870,           12.808472,           11.096378,           21.729092,            8.917906,            6.950235,            8.945352,            4.996436,           42.298681,
     5,           27.000000,           95.000000,          180.000000,            0.750000,            0.800000,         9474.944534,         -410.199785,         -185.575020,         -227.363809,          -12.703836,           22.979687,           14.110616,            9.812421,           10.000000,            3.570878,           10.275743,           15.261252,            1.684033,            6.000000,            6.696779,            1.592244,           24.557597,           20.334108,           15.188841,           12.476870,           12.808472,           11.096378,           21.729092,            8.917906,            6.950235,            8.945352,            4.996436,           41.467690,
     6,           27.000000,           95.000000,          180.000000,            0.775000,            0.600000,        10200.369081,         -484.533041,         -185.575020,         -227.363809,          -12.703836,           23.271346,            6.916810,            9.812421,           10.000000,            3.570878,           10.275743,           15.261252,            1.684033,            6.000000,            6.696779,            1.592244,           24.696429,           19.826498,           14.705838,           12.476870,           12.808472,           11.096378,           21.729092,            8.917906,            6.950235,            8.945352,            4.996436,           44.592928,
     7,           27.000000,           95.000000,          180.000000,            0.775000,            0.650000,         9845.418643,         -458.943429,         -185.575020,         -227.363809,          -12.703836,           23.172782,           12.222531,            9.812421,           10.000000,            3.570878,           10.275743,           15.261252,            1.684033,            6.000000,            6.696779,            1.592244,           24.649415,           19.966892,           14.789327,           12.476870,           12.808472,           11.096378,           21.729092,            8.917906,            6.950235,            8.945352,            4.996436,           43.011997,
     8,           27.000000,           95.000000,          180.000000,            0.775000,            0.700000,         9569.723731,         -439.067639,         -185.575020,         -227.363809,          -12.703836,           23.106449,           14.093093,            9.812421,           10.000000,            3.570878,           10.275743,           15.261252,            1.684033,            6.000000,            6.696779,            1.592244,           24.618061,           20.058912,           14.888361,           12.476870,           12.808472,           11.096378,           21.729092,            8.917906,            6.950235,            8.945352,            4.996436,           41.784065,
     9,           27.000000,           95.000000,          180.000000,            0.775000,            0.750000,         9349.405094,         -423.184100,         -185.575020,         -227.363809,          -12.703836,           23.038061,           14.101436,            9.812421,           10.000000,            3.570878,           10.275743,           15.261252,            1.684033,            6.000000,            6.696779,            1.592244,           24.585441,           20.284789,           15.050540,           12.476870,           12.808472,           11.096378,           21.729092,            8.917906,            6.950235,            8.945352,            4.996436,           40.802776,
    10,           27.000000,           95.000000,          180.000000,            0.775000,            0.800000,         9169.301162,         -410.199785,         -185.575020,         -227.363809,          -12.703836,           22.979687,           14.110616,            9.812421,           10.000000,            3.570878,           10.275743,           15.261252,            1.684033,            6.000000,            6.696779,            1.592244,           24.557597,           20.334108,           15.188841,           12.476870,           12.808472,           11.096378,           21.729092,            8.917906,            6.950235,            8.945352,            4.996436,           40.000602,
    11,           27.000000,           95.000000,          180.000000,            0.800000,            0.600000,         9881.607547,         -484.533041,         -185.575020,         -227.363809,          -12.703836,           23.271346,            6.916810,            9.812421,           10.000000,            3.570878,           10.275743,           15.261252,            1.684033,            6.000000,            6.696779,            1.592244,           24.696429,           19.826498,           14.705838,           12.476870,           12.808472,           11.096378,           21.729092,            8.917906,            6.950235,            8.945352,            4.996436,           43.062873,
