      num,    inode,     deltaT_min, deltaT_average,
       1,       1,       17.94,       20.27,
       2,       2,        8.19,       16.65,
       3,       3,        7.80,       12.15,
       4,       5,        8.10,       10.53,
       5,       6,        3.57,        9.64,
       6,       7,        5.79,        7.24,
       7,       9,       12.59,       18.71,
       8,      10,        0.98,        7.23,
       9,      11,        5.46,        6.33,
      10,      13,        6.70,        8.68,
      11,      14,        1.59,        5.00,
