    Num ,       T,       P,       M,    Para,       H,       S,
     1,          300.000000,         2100.000000,            0.057870,            0.250000,            7.997182,            0.082536,
     2,          210.000000,         2100.000000,            0.057870,            0.250000,            5.432314,            0.072383,
     3,          285.821901,          250.000000,            2.445037,            0.000000,            5.965003,            0.103596,
     4,          186.000000,          250.000000,            2.445037,            0.000000,            3.889925,            0.094665,
     5,          300.000000,         1500.000000,            2.445037,            0.000000,            6.276094,            0.089710,
     6,          206.000000,         1500.000000,            2.445037,            0.000000,            4.321550,            0.081894,
     7,          206.000000,         1500.000000,            0.733576,            0.000000,            4.321550,            0.081894,
     8,          206.000000,         1500.000000,            1.711462,            0.000000,            4.321550,            0.081894,
     9,          150.000000,         2100.000000,            0.057870,            0.250000,            3.815378,            0.063334,
    10,          143.083190,          250.000000,            2.445037,            0.000000,            2.997626,            0.089211,
    11,          143.083190,          250.000000,            0.733576,            0.000000,            2.997626,            0.089211,
    12,          149.960514,         1500.000000,            1.711462,            0.000000,            3.155348,            0.075286,
    13,          143.083190,          250.000000,            1.711462,            0.000000,            2.997626,            0.089211,
    14,          105.000000,         2100.000000,            0.057870,            0.250000,            2.692150,            0.054451,
    15,          110.157332,         2100.000000,            0.057870,            0.351790,            2.816641,            0.055608,
    16,          100.413680,          250.000000,            1.711462,            0.000000,            2.110192,            0.081846,
    17,          111.000000,         1500.000000,            1.711462,            0.000000,            2.343325,            0.069016,
    18,          111.000000,         1500.000000,            0.525802,            0.000000,            2.343325,            0.069016,
    19,          111.000000,         1500.000000,            1.185660,            0.000000,            2.343325,            0.069016,
    20,          105.000000,         2100.000000,            0.057870,            0.351790,            2.692150,            0.054451,
    21,          100.000000,          250.000000,            1.711462,            0.000000,            2.101586,            0.081760,
    22,           75.000000,         2100.000000,            0.057870,            0.351790,            1.977350,            0.046434,
    23,           71.429122,          250.000000,            1.711462,            0.000000,            1.506952,            0.074757,
    24,           73.335503,         1500.000000,            1.185660,            0.000000,            1.555546,            0.060345,
    25,           71.429122,          250.000000,            0.525802,            0.000000,            1.506952,            0.074757,
    26,           71.429122,          250.000000,            1.185660,            0.000000,            1.506952,            0.074757,
    27,           45.000000,         2100.000000,            0.057870,            0.351790,            1.163654,            0.032353,
    28,           59.812103,         2100.000000,            0.057870,            0.655723,            1.600852,            0.040817,
    29,           36.700785,          250.000000,            1.185660,            0.000000,            0.782419,            0.060860,
    30,           42.800000,         1500.000000,            1.185660,            0.000000,            0.910037,            0.048951,
    31,           42.800000,         1500.000000,            0.930452,            0.000000,            0.910037,            0.048951,
    32,           42.800000,         1500.000000,            0.255208,            0.000000,            0.910037,            0.048951,
    33,           26.303221,          250.000000,            0.930452,            0.000000,            0.564101,            0.053865,
    34,           45.000000,         2100.000000,            0.057870,            0.655723,            1.163654,            0.032353,
    35,           34.680031,          250.000000,            1.185660,            0.000000,            0.740092,            0.059674,
    36,           35.000000,         2100.000000,            0.057870,            0.655723,            0.493512,            0.015098,
    37,           28.526216,          250.000000,            1.185660,            0.000000,            0.610912,            0.055573,
    38,           28.900000,         1500.000000,            0.255208,            0.000000,            0.608718,            0.040430,
    39,           33.000000,         2100.000000,            0.057870,            0.655723,            0.381112,            0.011798,
    40,           37.576674,         2100.000000,            0.057870,            0.913174,            0.747510,            0.022083,
    41,           28.000000,          250.000000,            1.185660,            0.000000,            0.599840,            0.055181,
    42,           33.000000,         2100.000000,            0.057870,            0.913174,            0.381112,            0.011798,
    43,           26.303221,          250.000000,            1.185660,            0.000000,            0.564101,            0.053865,
    44,           26.303221,          250.000000,            0.255208,            0.000000,            0.564101,            0.053865,
    45,           20.600000,         2100.000000,            0.057870,            0.913174,            0.043208,           -0.000623,
    46,           19.007756,          250.000000,            0.255208,            0.000000,            0.409475,            0.046977,
    47,          685.200848,         1500.000000,            2.445037,            0.000000,           14.282003,            0.106876,
