    iter,x_1,     x_2,     x_3,     x_4,     x_5,     dtMin_1, dtMin_2, dtMin_3, dtMin_4, dtMin_5, dtMin_6, dtMin_7, dtMin_8, dtMin_9, dtMin_10,dtMin_11,     SEC,   ERROR,
     0,           27.100000,           95.000000,          180.000000,            0.750000,            0.600000,            0.000000,            0.000000,            0.000000,            0.000000,            0.000000,            0.000000,            0.000000,            0.000000,            0.000000,            0.000000,            0.000000,            0.000000,       0.000,
     1,           28.455000,           95.000000,          180.000000,            0.750000,            0.600000,           15.109570,            8.826893,            6.778905,            7.150000,            2.632272,            2.776797,           10.750214,            0.487788,            5.087000,            6.696779,            1.592244,           34.774221,       0.155,
     2,           27.967200,           98.040000,          185.760000,            0.774000,            0.600000,           18.731428,            7.184223,            6.290959,            6.610400,            3.570878,            5.911117,           12.668634,            0.996286,            5.475072,            6.696779,            1.592244,           22.415540,       0.394,
     3,           27.967200,           98.040000,          185.760000,            0.774000,            0.600000,           14.509422,            7.210964,            8.344543,            8.646440,            3.570878,            5.527464,           12.458636,            0.940609,            5.432579,            6.696779,            1.592244,           22.415540,       0.355,
     4,           27.967200,           98.040000,          185.760000,            0.774000,            0.600000,           11.279034,            7.067488,            3.747845,            4.044336,            3.570878,            8.130508,           13.979218,            1.343856,            5.740348,            6.696779,            1.592244,           22.415540,       0.213,
     5,           28.083613,           98.592490,          190.000000,            0.774998,            0.613548,           12.039195,            8.004536,            5.165123,            5.512963,            3.570878,            5.167877,           12.226659,            0.879110,            5.385643,            6.696779,            1.592244,           19.920517,       0.261,
     6,           28.083613,           98.592490,          190.000000,            0.774998,            0.613548,           11.578726,            6.880964,            4.774181,            5.209122,            0.372131,            0.788146,            9.410027,            0.132713,            4.816035,            6.696779,            1.592244,           19.920517,       0.175,
     7,           28.183965,           99.790878,          187.992739,            0.774566,            0.613313,           13.235563,            8.289246,            6.139888,            6.499879,            3.570878,            3.853584,           11.449363,            0.673072,            5.228400,            6.696779,            1.592244,           19.662410,       0.174,
     8,           28.183965,           99.790878,          187.992739,            0.774566,            0.613313,           12.387359,            8.073962,            5.608080,            5.979133,            3.570878,            3.647038,           11.313323,            0.637017,            5.200884,            6.696779,            1.592244,           19.662410,       0.137,
     9,           28.183965,           99.790878,          187.992739,            0.774566,            0.613313,            9.636305,            7.158706,            4.861255,            5.272257,            1.829651,            2.064381,           10.274480,            0.361732,            4.990802,            6.696779,            1.592244,           19.662410,       0.131,
