  iter,x_1,   x_2,   x_3,   x_4,   x_5,      SEC, ERROR,
     0,           27.000000,           95.000000,          180.000000,            0.750000,            0.600000,            0.000000,       0.000,
     1,           28.350000,           95.000000,          180.000000,            0.750000,            0.600000,           29.835285,       0.340,
     2,           27.810000,           97.850000,          185.400000,            0.772500,            0.618000,           23.572006,       0.462,
     3,           28.296000,           99.560000,          188.640000,            0.786000,            0.600000,           21.631559,       0.493,
     4,           28.296000,           99.560000,          188.640000,            0.786000,            0.600000,           21.631559,       0.450,
     5,           28.296000,           99.560000,          188.640000,            0.786000,            0.600000,           21.631559,       0.275,
     6,           28.296000,           99.560000,          188.640000,            0.786000,            0.600000,           21.631559,       0.246,
     7,           28.296000,           99.560000,          188.640000,            0.786000,            0.600000,           21.631559,       0.200,
     8,           28.296000,           99.560000,          188.640000,            0.786000,            0.600000,           21.631559,       0.156,
     9,           28.296000,           99.560000,          188.640000,            0.786000,            0.600000,           21.631559,       0.097,
    10,           28.296000,           99.560000,          188.640000,            0.786000,            0.600000,           21.631559,       0.082,
    11,           28.296000,           99.560000,          188.640000,            0.786000,            0.600000,           21.631559,       0.063,
    12,           28.115275,          101.033587,          190.000000,            0.787957,            0.600000,           18.880301,       0.162,
    13,           28.264485,          101.826217,          190.000000,            0.804578,            0.607945,           18.869786,       0.154,
    14,           28.264485,          101.826217,          190.000000,            0.804578,            0.607945,           18.869786,       0.145,
    15,           28.264485,          101.826217,          190.000000,            0.804578,            0.607945,           18.869786,       0.128,
    16,           28.264485,          101.826217,          190.000000,            0.804578,            0.607945,           18.869786,       0.090,
    17,           28.264485,          101.826217,          190.000000,            0.804578,            0.607945,           18.869786,       0.087,
    18,           28.145397,          100.900219,          190.000000,            0.789754,            0.613524,           18.573833,       0.095,
    19,           28.145397,          100.900219,          190.000000,            0.789754,            0.613524,           18.573833,       0.093,
    20,           28.204461,          102.483711,          190.000000,            0.796568,            0.605925,           17.848771,       0.098,
    21,           28.204461,          102.483711,          190.000000,            0.796568,            0.605925,           17.848771,       0.080,
    22,           28.204461,          102.483711,          190.000000,            0.796568,            0.605925,           17.848771,       0.063,
    23,           28.204461,          102.483711,          190.000000,            0.796568,            0.605925,           17.848771,       0.055,
    24,           28.204461,          102.483711,          190.000000,            0.796568,            0.605925,           17.848771,       0.054,
    25,           28.199263,          102.185254,          189.851087,            0.803198,            0.616738,           17.694491,       0.062,
    26,           28.199263,          102.185254,          189.851087,            0.803198,            0.616738,           17.694491,       0.052,
    27,           28.199263,          102.185254,          189.851087,            0.803198,            0.616738,           17.694491,       0.047,
    28,           28.199263,          102.185254,          189.851087,            0.803198,            0.616738,           17.694491,       0.033,
    29,           28.216208,          102.582333,          189.906124,            0.803535,            0.609232,           17.594989,       0.017,
    30,           28.216208,          102.582333,          189.906124,            0.803535,            0.609232,           17.594989,       0.017,
    31,           28.216208,          102.582333,          189.906124,            0.803535,            0.609232,           17.594989,       0.017,
    32,           28.216208,          102.582333,          189.906124,            0.803535,            0.609232,           17.594989,       0.014,
    33,           28.224080,          102.734799,          189.925239,            0.801821,            0.612411,           17.529986,       0.015,
    34,           28.225615,          102.394504,          189.739418,            0.811764,            0.626142,           17.260328,       0.025,
    35,           28.225615,          102.394504,          189.739418,            0.811764,            0.626142,           17.260328,       0.021,
    36,           28.225615,          102.394504,          189.739418,            0.811764,            0.626142,           17.260328,       0.019,
    37,           28.225615,          102.394504,          189.739418,            0.811764,            0.626142,           17.260328,       0.018,
    38,           28.225615,          102.394504,          189.739418,            0.811764,            0.626142,           17.260328,       0.016,
    39,           28.225615,          102.394504,          189.739418,            0.811764,            0.626142,           17.260328,       0.015,
    40,           28.226977,          102.712976,          189.731666,            0.811585,            0.625848,           17.194394,       0.016,
    41,           28.211357,          102.652034,          189.445109,            0.824748,            0.643977,           16.853452,       0.025,
    42,           28.211357,          102.652034,          189.445109,            0.824748,            0.643977,           16.853452,       0.025,
    43,           28.211357,          102.652034,          189.445109,            0.824748,            0.643977,           16.853452,       0.024,
