  iter,x_1,   x_2,   x_3,   x_4,   x_5,      SEC, ERROR,
     0,           27.000000,           95.000000,          180.000000,            0.750000,            0.600000,            0.000000,       0.000,
     1,           27.000000,           95.000000,          189.000000,            0.750000,            0.600000,           39.355604,       0.149,
     2,           27.000000,           95.000000,          189.000000,            0.750000,            0.600000,           39.355604,       0.129,
     3,           27.000000,           98.990000,          187.560000,            0.781500,            0.625200,           35.525214,       0.189,
     4,           27.000000,          101.384000,          190.000000,            0.800400,            0.600000,           32.586858,       0.236,
     5,           27.000000,          101.384000,          190.000000,            0.800400,            0.600000,           32.586858,       0.194,
     6,           27.000000,          101.384000,          190.000000,            0.800400,            0.600000,           32.586858,       0.172,
     7,           27.000000,          101.384000,          190.000000,            0.800400,            0.600000,           32.586858,       0.083,
     8,           27.000000,          101.384000,          190.000000,            0.800400,            0.600000,           32.586858,       0.083,
     9,           27.000000,          102.858157,          189.768000,            0.796918,            0.621983,           31.766606,       0.083,
    10,           27.000000,          102.858157,          189.768000,            0.796918,            0.621983,           31.766606,       0.078,
    11,           27.000000,          102.858157,          189.768000,            0.796918,            0.621983,           31.766606,       0.057,
    12,           27.000000,          101.400901,          189.846880,            0.850000,            0.601916,           30.578779,       0.080,
    13,           27.000000,          103.958814,          189.869152,            0.820796,            0.600014,           30.459411,       0.065,
    14,           27.000000,          103.927855,          189.793613,            0.838166,            0.600000,           29.822754,       0.076,
    15,           27.000000,          104.688213,          189.711058,            0.836842,            0.610695,           29.335545,       0.077,
    16,           27.000000,          104.688213,          189.711058,            0.836842,            0.610695,           29.335545,       0.041,
    17,           27.000000,          104.211665,          189.758474,            0.850000,            0.600000,           29.239021,       0.040,
    18,           27.000000,          104.211665,          189.758474,            0.850000,            0.600000,           29.239021,       0.031,
    19,           27.000000,          104.211665,          189.758474,            0.850000,            0.600000,           29.239021,       0.020,
    20,           27.000000,          104.211665,          189.758474,            0.850000,            0.600000,           29.239021,       0.019,
    21,           27.000000,          103.995675,          189.453403,            0.850000,            0.621820,           29.126471,       0.009,
    22,           27.000000,          103.995675,          189.453403,            0.850000,            0.621820,           29.126471,       0.009,
    23,           27.000000,          104.402571,          189.561735,            0.848657,            0.613673,           29.048070,       0.012,
    24,           27.000000,          104.402571,          189.561735,            0.848657,            0.613673,           29.048070,       0.010,
    25,           27.000000,          104.402571,          189.561735,            0.848657,            0.613673,           29.048070,       0.008,
    26,           27.000000,          104.402571,          189.561735,            0.848657,            0.613673,           29.048070,       0.007,
    27,           27.000000,          104.690429,          189.558485,            0.849224,            0.613871,           28.877278,       0.012,
    28,           27.000000,          104.690429,          189.558485,            0.849224,            0.613871,           28.877278,       0.009,
    29,           27.000000,          104.690429,          189.558485,            0.849224,            0.613871,           28.877278,       0.008,
    30,           27.000000,          104.690429,          189.558485,            0.849224,            0.613871,           28.877278,       0.006,
    31,           27.000000,          104.690429,          189.558485,            0.849224,            0.613871,           28.877278,       0.006,
    32,           27.000000,          104.690429,          189.558485,            0.849224,            0.613871,           28.877278,       0.006,
    33,           27.000000,          104.690429,          189.558485,            0.849224,            0.613871,           28.877278,       0.006,
    34,           27.000000,          104.580838,          189.353166,            0.849560,            0.627343,           28.786887,       0.008,
    35,           27.000000,          104.680953,          189.152956,            0.848632,            0.640615,           28.640319,       0.012,
    36,           27.000000,          104.680953,          189.152956,            0.848632,            0.640615,           28.640319,       0.009,
    37,           27.000000,          104.680953,          189.152956,            0.848632,            0.640615,           28.640319,       0.008,
    38,           27.000000,          104.680953,          189.152956,            0.848632,            0.640615,           28.640319,       0.008,
    39,           27.000000,          104.477300,          188.692582,            0.849809,            0.668548,           28.465541,       0.011,
    40,           27.000000,          104.477300,          188.692582,            0.849809,            0.668548,           28.465541,       0.010,
    41,           27.000000,          104.477300,          188.692582,            0.849809,            0.668548,           28.465541,       0.008,
    42,           27.000000,          104.477300,          188.692582,            0.849809,            0.668548,           28.465541,       0.007,
    43,           27.000000,          104.477300,          188.692582,            0.849809,            0.668548,           28.465541,       0.006,
    44,           27.000000,          104.653016,          188.508822,            0.848784,            0.681501,           28.288706,       0.012,
    45,           27.000000,          104.653016,          188.508822,            0.848784,            0.681501,           28.288706,       0.007,
    46,           27.000000,          104.338609,          187.613071,            0.849942,            0.736503,           28.004848,       0.016,
    47,           27.000000,          104.338609,          187.613071,            0.849942,            0.736503,           28.004848,       0.016,
